firm,time,open,high,low,close,dailyreturn,volume,Liquidity,yearReport,lengthReport,TOTALASSETS,LIABILITIES,Currentliabilities,Cashandcashequivalents,Revenue,PAT,SIZE,LEV,ROA,CASHRATIO,RevenueYoY,vnopen,vnhigh,vnlow,vnclose,vnvolume,vngrowth
VTB,2016-10-17 00:00:00.000000 UTC,6.16,6.16,5.95,6.16,0.0441,190,4846.428571,2016,4,713069000000.0,430102000000.0,215051000000.0,12060975462.0,389730000000.0,11827302415.0,11.85,0.6032,0.0166,0.056100000000000004,2.2327,687.18,687.94,680.95,680.95,113644728,-0.0088
VTB,2016-10-14 00:00:00.000000 UTC,5.85,6.13,5.85,5.9,-0.0422,230,0.0,2016,4,713069000000.0,430102000000.0,215051000000.0,12060975462.0,389730000000.0,11827302415.0,11.85,0.6032,0.0166,0.056100000000000004,2.2327,685.06,690.62,684.78,687.0,164165746,0.0026
VTB,2016-10-13 00:00:00.000000 UTC,6.16,6.16,6.16,6.16,0.0,0,937.3913043,2016,4,713069000000.0,430102000000.0,215051000000.0,12060975462.0,389730000000.0,11827302415.0,11.85,0.6032,0.0166,0.056100000000000004,2.2327,680.73,685.23,678.79,685.23,125171020,0.0040999999999999995
VTB,2016-10-12 00:00:00.000000 UTC,6.26,6.26,5.8,6.16,-0.0032,70,996.7741935,2016,4,713069000000.0,430102000000.0,215051000000.0,12060975462.0,389730000000.0,11827302415.0,11.85,0.6032,0.0166,0.056100000000000004,2.2327,683.88,686.18,681.12,682.45,120213690,0.0001
VTB,2016-10-11 00:00:00.000000 UTC,6.31,6.31,5.69,6.18,0.0215,100,11867.30769,2016,4,713069000000.0,430102000000.0,215051000000.0,12060975462.0,389730000000.0,11827302415.0,11.85,0.6032,0.0166,0.056100000000000004,2.2327,677.63,682.36,669.2,682.36,147982566,0.0121
VTB,2016-10-10 00:00:00.000000 UTC,6.31,6.31,6.05,6.05,-0.0487,510,6360.0,2016,4,713069000000.0,430102000000.0,215051000000.0,12060975462.0,389730000000.0,11827302415.0,11.85,0.6032,0.0166,0.056100000000000004,2.2327,684.05,684.46,674.19,674.19,139314337,-0.0143
VTB,2016-10-07 00:00:00.000000 UTC,6.11,6.36,6.11,6.36,0.0409,250,498.7755102,2016,4,713069000000.0,430102000000.0,215051000000.0,12060975462.0,389730000000.0,11827302415.0,11.85,0.6032,0.0166,0.056100000000000004,2.2327,689.51,690.14,680.26,683.95,139957450,-0.0049
VTB,2016-10-06 00:00:00.000000 UTC,6.16,6.16,5.67,6.11,0.0534,40,1127.777778,2016,4,713069000000.0,430102000000.0,215051000000.0,12060975462.0,389730000000.0,11827302415.0,11.85,0.6032,0.0166,0.056100000000000004,2.2327,687.04,690.93,687.04,687.32,150577333,0.0004
VTB,2016-10-05 00:00:00.000000 UTC,5.8,6.16,5.8,5.8,-0.0584,70,1197.777778,2016,4,713069000000.0,430102000000.0,215051000000.0,12060975462.0,389730000000.0,11827302415.0,11.85,0.6032,0.0166,0.056100000000000004,2.2327,686.41,689.5,685.48,687.04,116667290,0.0042
VTB,2016-10-04 00:00:00.000000 UTC,5.8,6.16,5.8,6.16,-0.0081,70,14194.28571,2016,4,713069000000.0,430102000000.0,215051000000.0,12060975462.0,389730000000.0,11827302415.0,11.85,0.6032,0.0166,0.056100000000000004,2.2327,682.82,689.17,680.24,684.2,122992716,0.0017000000000000001
VTB,2016-10-03 00:00:00.000000 UTC,6.34,6.34,5.85,6.21,-0.0111,1120,7412.459016,2016,4,713069000000.0,430102000000.0,215051000000.0,12060975462.0,389730000000.0,11827302415.0,11.85,0.6032,0.0166,0.056100000000000004,2.2327,687.68,687.98,681.99,683.05,120805041,-0.0039000000000000003
VTB,2016-09-30 00:00:00.000000 UTC,6.46,6.46,5.85,6.28,0.0329,720,32426.66667,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,688.55,689.12,684.62,685.73,115087200,-0.0040999999999999995
VTB,2016-09-29 00:00:00.000000 UTC,6.21,6.41,6.08,6.08,-0.0675,1760,4206.451613,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,689.82,692.17,685.91,688.55,115862966,0.0027
VTB,2016-09-28 00:00:00.000000 UTC,6.41,6.57,6.26,6.52,-0.0225,200,2366.774194,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,684.99,687.94,682.98,686.72,128073211,0.0027
VTB,2016-09-27 00:00:00.000000 UTC,6.36,6.67,6.36,6.67,-0.022,110,34100.0,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,676.61,684.89,676.24,684.89,130520085,0.0116
VTB,2016-09-26 00:00:00.000000 UTC,6.77,6.82,6.77,6.82,0.0381,250,0.0,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,673.21,677.04,671.51,677.04,162223243,0.0044
VTB,2016-09-23 00:00:00.000000 UTC,6.57,6.57,6.57,6.57,0.058,10,33402.27273,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,670.73,674.09,670.3,674.09,175883360,0.004
VTB,2016-09-22 00:00:00.000000 UTC,6.82,6.82,6.16,6.21,-0.0619,3550,0.0,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,668.48,675.36,668.48,671.38,144231872,0.0043
VTB,2016-09-21 00:00:00.000000 UTC,6.62,6.62,6.62,6.62,0.0409,10,1896.842105,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,663.12,668.83,662.79,668.48,158783297,0.0077
VTB,2016-09-20 00:00:00.000000 UTC,6.77,6.93,6.36,6.36,-0.0674,170,5456.0,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,656.2,663.37,653.28,663.37,118260890,0.0083
VTB,2016-09-19 00:00:00.000000 UTC,6.77,6.82,6.77,6.82,0.0,40,0.0,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,651.31,658.35,651.31,657.89,107305229,0.0101
VTB,2016-09-16 00:00:00.000000 UTC,6.82,6.82,6.82,6.82,0.0149,120,75840.0,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,654.68,657.53,651.31,651.31,206536820,-0.0074
VTB,2016-09-15 00:00:00.000000 UTC,6.82,6.82,6.26,6.72,0.0,6320,42186.66667,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,657.46,660.32,654.84,656.18,112622645,-0.0007000000000000001
VTB,2016-09-14 00:00:00.000000 UTC,6.57,6.82,6.46,6.72,0.0151,2260,11513.04348,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,658.16,661.82,656.64,656.64,95844555,-0.0046999999999999993
VTB,2016-09-13 00:00:00.000000 UTC,6.77,6.77,6.31,6.62,-0.0222,800,20310.0,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,658.61,661.74,654.95,659.72,87665763,-0.0001
