firm,time,open,high,low,close,dailyreturn,volume,Liquidity,yearReport,lengthReport,TOTALASSETS,LIABILITIES,Currentliabilities,Cashandcashequivalents,Revenue,PAT,SIZE,LEV,ROA,CASHRATIO,RevenueYoY,vnopen,vnhigh,vnlow,vnclose,vnvolume,vngrowth,SentimentLevel,SentimentLevelId,Score,Positive_cnt,Negative_cnt,Neutral_cnt
FPT,2024-05-22 00:00:00.000000 UTC,119.09,120.64,117.54,119.18,0.0147,4522916,189130659.4,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1280.47,1283.06,1263.87,1266.91,1139091754,-0.008,Trung lập,0,49,1,0,0
FPT,2024-05-21 00:00:00.000000 UTC,115.72,117.45,115.29,117.45,0.0225,3478265,86607397.22,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1278.44,1281.29,1267.29,1277.14,972159800,-0.0003,Trung lập,0,52,0,0,1
FPT,2024-05-21 00:00:00.000000 UTC,115.72,117.45,115.29,117.45,0.0225,3478265,86607397.22,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1278.44,1281.29,1267.29,1277.14,972159800,-0.0003,Trung lập,0,52,1,0,0
FPT,2024-05-21 00:00:00.000000 UTC,115.72,117.45,115.29,117.45,0.0225,3478265,86607397.22,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1278.44,1281.29,1267.29,1277.14,972159800,-0.0003,Trung lập,0,52,1,0,0
FPT,2024-05-21 00:00:00.000000 UTC,115.72,117.45,115.29,117.45,0.0225,3478265,86607397.22,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1278.44,1281.29,1267.29,1277.14,972159800,-0.0003,Trung lập,0,52,1,0,0
FPT,2024-05-21 00:00:00.000000 UTC,115.72,117.45,115.29,117.45,0.0225,3478265,86607397.22,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1278.44,1281.29,1267.29,1277.14,972159800,-0.0003,Trung lập,0,52,1,0,0
FPT,2024-05-20 00:00:00.000000 UTC,116.76,117.54,114.86,114.86,-0.0111,2020789,135096808.2,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1281.52,1285.19,1277.36,1277.58,1161563296,0.0034999999999999996,Trung lập,0,48,1,0,0
FPT,2024-05-20 00:00:00.000000 UTC,116.76,117.54,114.86,114.86,-0.0111,2020789,135096808.2,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1281.52,1285.19,1277.36,1277.58,1161563296,0.0034999999999999996,Trung lập,0,48,1,0,0
FPT,2024-05-20 00:00:00.000000 UTC,116.76,117.54,114.86,114.86,-0.0111,2020789,135096808.2,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1281.52,1285.19,1277.36,1277.58,1161563296,0.0034999999999999996,Trung lập,0,48,1,0,0
FPT,2024-05-20 00:00:00.000000 UTC,116.76,117.54,114.86,114.86,-0.0111,2020789,135096808.2,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1281.52,1285.19,1277.36,1277.58,1161563296,0.0034999999999999996,Trung lập,0,48,1,0,0
