date,year,quarter,sentimentlevel_id,sentiment_score
11/28/2023,2023,4,-1,38
11/29/2023,2023,4,-1,43
11/30/2023,2023,4,-1,41
12/1/2023,2023,4,-1,43
12/4/2023,2023,4,-1,43
12/5/2023,2023,4,-1,40
12/6/2023,2023,4,-1,44
12/7/2023,2023,4,0,46
12/8/2023,2023,4,-1,43
12/11/2023,2023,4,0,48
12/12/2023,2023,4,0,46
12/13/2023,2023,4,0,47
12/14/2023,2023,4,0,48
12/15/2023,2023,4,0,49
12/18/2023,2023,4,0,47
12/19/2023,2023,4,0,48
12/20/2023,2023,4,0,47
12/21/2023,2023,4,0,47
12/22/2023,2023,4,0,47
12/25/2023,2023,4,0,49
12/26/2023,2023,4,0,48
12/27/2023,2023,4,0,47
12/28/2023,2023,4,0,51
12/29/2023,2023,4,0,50
1/1/2024,2024,1,0,48
1/2/2024,2024,1,0,52
1/3/2024,2024,1,0,51
1/5/2024,2024,1,0,51
1/8/2024,2024,1,0,53
1/9/2024,2024,1,0,53
1/10/2024,2024,1,0,55
1/11/2024,2024,1,0,54
1/12/2024,2024,1,0,55
1/15/2024,2024,1,0,54
1/16/2024,2024,1,1,57
1/17/2024,2024,1,0,55
1/18/2024,2024,1,1,56
1/19/2024,2024,1,1,59
1/22/2024,2024,1,1,56
1/23/2024,2024,1,1,60
1/24/2024,2024,1,1,64
1/25/2024,2024,1,1,62
1/26/2024,2024,1,1,61
1/29/2024,2024,1,1,59
1/30/2024,2024,1,1,59
1/31/2024,2024,1,1,61
2/1/2024,2024,1,1,59
2/2/2024,2024,1,1,60
2/5/2024,2024,1,1,56
2/6/2024,2024,1,1,62
2/7/2024,2024,1,1,64
2/8/2024,2024,1,1,69
2/9/2024,2024,1,1,67
2/12/2024,2024,1,2,71
2/20/2024,2024,1,2,70
2/21/2024,2024,1,2,74
2/22/2024,2024,1,2,75
2/23/2024,2024,1,2,75
2/26/2024,2024,1,2,75
2/27/2024,2024,1,2,73
2/28/2024,2024,1,1,69
2/29/2024,2024,1,2,73
3/1/2024,2024,1,2,75
3/4/2024,2024,1,2,78
3/5/2024,2024,1,2,73
3/6/2024,2024,1,2,75
3/7/2024,2024,1,2,75
3/8/2024,2024,1,2,78
3/11/2024,2024,1,2,73
3/12/2024,2024,1,2,76
3/13/2024,2024,1,2,72
3/14/2024,2024,1,1,69
3/15/2024,2024,1,2,75
3/18/2024,2024,1,2,80
3/19/2024,2024,1,2,73
3/20/2024,2024,1,2,72
3/21/2024,2024,1,1,68
3/22/2024,2024,1,2,70
3/25/2024,2024,1,2,77
3/26/2024,2024,1,2,77
3/27/2024,2024,1,2,76
3/28/2024,2024,1,2,71
3/29/2024,2024,1,2,77
4/1/2024,2024,2,2,74
4/2/2024,2024,2,2,76
4/3/2024,2024,2,2,70
4/4/2024,2024,2,1,69
4/5/2024,2024,2,1,67
4/8/2024,2024,2,1,64
4/9/2024,2024,2,1,62
4/10/2024,2024,2,1,57
4/11/2024,2024,2,1,57
4/12/2024,2024,2,1,59
4/15/2024,2024,2,1,59
4/16/2024,2024,2,1,56
4/17/2024,2024,2,1,61
4/18/2024,2024,2,0,45
4/19/2024,2024,2,0,49
4/22/2024,2024,2,0,47
4/24/2024,2024,2,-1,42
4/25/2024,2024,2,0,47
4/26/2024,2024,2,-1,42
4/29/2024,2024,2,0,49
4/30/2024,2024,2,-1,43
5/1/2024,2024,2,0,45
5/7/2024,2024,2,0,46
5/8/2024,2024,2,0,45
5/9/2024,2024,2,0,48
5/10/2024,2024,2,0,47
5/13/2024,2024,2,0,47
5/14/2024,2024,2,0,45
5/15/2024,2024,2,0,46
5/16/2024,2024,2,0,46
5/17/2024,2024,2,0,47
5/20/2024,2024,2,0,48
5/21/2024,2024,2,0,52
5/22/2024,2024,2,0,49
5/23/2024,2024,2,0,51
5/24/2024,2024,2,0,51
5/27/2024,2024,2,0,48
5/28/2024,2024,2,0,54
5/29/2024,2024,2,0,49
5/30/2024,2024,2,0,53
5/31/2024,2024,2,1,58
6/3/2024,2024,2,1,58
6/4/2024,2024,2,1,57
6/5/2024,2024,2,1,56
6/6/2024,2024,2,1,58
6/7/2024,2024,2,1,59
6/10/2024,2024,2,1,58
6/11/2024,2024,2,1,58
6/12/2024,2024,2,1,60
6/13/2024,2024,2,1,63
6/14/2024,2024,2,1,62
6/24/2024,2024,2,1,63
6/25/2024,2024,2,1,63
6/26/2024,2024,2,1,62
6/27/2024,2024,2,1,59
6/28/2024,2024,2,1,58
7/1/2024,2024,3,1,58
7/2/2024,2024,3,1,57
7/3/2024,2024,3,0,55
7/4/2024,2024,3,0,55
7/5/2024,2024,3,0,54
7/8/2024,2024,3,0,54
7/9/2024,2024,3,0,54
7/10/2024,2024,3,0,54
7/11/2024,2024,3,0,54
7/12/2024,2024,3,1,56
7/15/2024,2024,3,0,54
7/16/2024,2024,3,0,54
7/17/2024,2024,3,0,53
7/18/2024,2024,3,0,51
7/19/2024,2024,3,0,52
7/22/2024,2024,3,0,52
7/23/2024,2024,3,0,53
7/25/2024,2024,3,0,50
7/26/2024,2024,3,0,48
7/29/2024,2024,3,0,49
7/30/2024,2024,3,0,47
7/31/2024,2024,3,0,47
8/1/2024,2024,3,0,47
8/2/2024,2024,3,0,46
8/5/2024,2024,3,0,46
8/6/2024,2024,3,-1,44
8/7/2024,2024,3,-1,44
8/8/2024,2024,3,-1,42
8/9/2024,2024,3,-1,43
8/12/2024,2024,3,-1,43
8/13/2024,2024,3,-1,41
8/14/2024,2024,3,-1,42
8/16/2024,2024,3,-1,42
8/19/2024,2024,3,-1,42
8/20/2024,2024,3,-1,42
8/21/2024,2024,3,-1,44
8/22/2024,2024,3,0,46
8/23/2024,2024,3,0,47
8/26/2024,2024,3,0,47
8/27/2024,2024,3,0,47
8/28/2024,2024,3,0,47
8/29/2024,2024,3,0,47
8/30/2024,2024,3,0,46
9/2/2024,2024,3,0,46
9/3/2024,2024,3,0,46
9/4/2024,2024,3,0,46
9/9/2024,2024,3,0,46
9/10/2024,2024,3,0,45
9/11/2024,2024,3,0,46
9/12/2024,2024,3,0,45
9/13/2024,2024,3,-1,44
9/16/2024,2024,3,-1,43
9/17/2024,2024,3,-1,44
9/18/2024,2024,3,-1,43
9/19/2024,2024,3,-1,43
9/20/2024,2024,3,-1,44
9/23/2024,2024,3,0,45
9/24/2024,2024,3,0,46
9/25/2024,2024,3,0,47
9/26/2024,2024,3,0,47
9/27/2024,2024,3,0,48
9/30/2024,2024,3,0,51
10/1/2024,2024,4,0,53
10/2/2024,2024,4,0,52
10/3/2024,2024,4,0,53
10/4/2024,2024,4,0,54
10/7/2024,2024,4,0,52
10/8/2024,2024,4,0,51
10/9/2024,2024,4,0,50
10/10/2024,2024,4,0,48
10/11/2024,2024,4,0,48
10/14/2024,2024,4,0,49
10/15/2024,2024,4,0,50
10/16/2024,2024,4,0,50
10/17/2024,2024,4,0,50
10/18/2024,2024,4,0,49
10/21/2024,2024,4,0,48
10/22/2024,2024,4,0,49
10/23/2024,2024,4,0,49
10/24/2024,2024,4,0,48
10/25/2024,2024,4,0,46
10/28/2024,2024,4,0,47
10/29/2024,2024,4,0,45
10/30/2024,2024,4,0,45
10/31/2024,2024,4,0,45
11/1/2024,2024,4,0,47
11/4/2024,2024,4,0,46
11/5/2024,2024,4,0,46
11/5/2024,2024,4,0,46
