ticker,date,year,quarter,dailyreturn,volume,liquidity
ITD,12/24/2018,2018,4,-0.0598,7420,428486.1538
ITD,12/25/2018,2018,4,-0.0186,7020,116729.2683
ITD,12/26/2018,2018,4,0.0395,15950,79351.07143
ITD,12/27/2018,2018,4,0.0289,620,419804
ITD,12/28/2018,2018,4,-0.0192,310,32287.69231
ITD,1/2/2019,2019,1,-0.0331,9210,0
ITD,1/3/2019,2019,1,0.0000,25350,268764.5455
ITD,1/4/2019,2019,1,0.0498,5080,2324957.143
ITD,1/7/2019,2019,1,-0.0475,63830,106997.5
ITD,1/8/2019,2019,1,-0.0047,101910,1862675.455
ITD,1/9/2019,2019,1,0.0094,11160,10853415
ITD,1/10/2019,2019,1,-0.0186,32410,163595.4545
ITD,1/11/2019,2019,1,0.0190,40030,1709627.5
ITD,1/14/2019,2019,1,0.0155,10,1434408.333
ITD,1/15/2019,2019,1,-0.0427,9280,0
ITD,1/16/2019,2019,1,0.0048,1420,969760
ITD,1/17/2019,2019,1,0.0492,10,149100
ITD,1/18/2019,2019,1,-0.0378,120,0
ITD,1/21/2019,2019,1,0.0346,4450,2062.702703
ITD,1/22/2019,2019,1,-0.0380,14310,117124
ITD,1/23/2019,2019,1,0.0300,350,1509705
ITD,1/24/2019,2019,1,0.0092,6500,17553.84615
ITD,1/25/2019,2019,1,-0.0198,7120,329000
ITD,1/28/2019,2019,1,0.0062,4540,353261.5385
ITD,1/29/2019,2019,1,0.0046,5480,226650.7692
ITD,1/30/2019,2019,1,0.0000,4770,510422.8571
ITD,1/31/2019,2019,1,0.0000,700,1036680
ITD,2/1/2019,2019,1,0.0383,10630,0
ITD,2/11/2019,2019,1,0.0000,10,163557.0455
ITD,2/12/2019,2019,1,0.0089,15760,0
ITD,2/13/2019,2019,1,0.0483,2180,347228.3871
ITD,2/14/2019,2019,1,-0.0363,30470,78044
ITD,2/15/2019,2019,1,0.0188,86930,808626.9231
ITD,2/18/2019,2019,1,-0.0185,13150,2107303.103
ITD,2/19/2019,2019,1,0.0000,33880,477552.6316
ITD,2/20/2019,2019,1,0.0000,29560,3339600
ITD,2/21/2019,2019,1,0.0087,27850,784476.9231
ITD,2/22/2019,2019,1,-0.0086,29800,2153733.333
ITD,2/25/2019,2019,1,0.0000,22660,3427000
ITD,2/26/2019,2019,1,0.0043,39030,679800
ITD,2/27/2019,2019,1,0.0043,13740,1423567.895
ITD,2/28/2019,2019,1,-0.0086,43960,1062560
ITD,3/1/2019,2019,1,0.0000,37940,2333261.538
ITD,3/4/2019,2019,1,0.0275,36140,0
ITD,3/5/2019,2019,1,0.0000,14270,1348592.632
ITD,3/6/2019,2019,1,0.0099,224810,532496.3158
ITD,3/7/2019,2019,1,0.0000,80680,5550481.379
ITD,3/8/2019,2019,1,0.0084,122000,3398051.765
ITD,3/11/2019,2019,1,0.0596,452120,4404200
ITD,3/12/2019,2019,1,0.0693,137130,6917436
ITD,3/13/2019,2019,1,0.0355,209000,2243446.8
ITD,3/14/2019,2019,1,-0.0071,165540,3848326.087
ITD,3/15/2019,2019,1,0.0119,42430,3237654.419
